Section ID;STD Street;Block Num;Direction;Year;Day of Week;AADW;Hr Cnt;X;Y;Longitude;Latitude;geopoint
166.0;W GEORGIA ST;1900.0;E;2016.0;Sunday;27213.0;1008.0;490110.9378;5460154.7895;-123.136005118;49.2940601959;49.2940601959,-123.136005118
166.0;W GEORGIA ST;1900.0;E;2016.0;Tuesday;32151.0;1080.0;490110.9378;5460154.7895;-123.136005118;49.2940601959;49.2940601959,-123.136005118
166.0;W GEORGIA ST;1900.0;W;2016.0;Sunday;29511.0;360.0;490110.9378;5460154.7895;-123.136005118;49.2940601959;49.2940601959,-123.136005118
166.0;W GEORGIA ST;1900.0;W;2016.0;Thursday;35317.0;408.0;490110.9378;5460154.7895;-123.136005118;49.2940601959;49.2940601959,-123.136005118
166.0;W GEORGIA ST;1900.0;W;2016.0;Saturday;33047.0;504.0;490110.9378;5460154.7895;-123.136005118;49.2940601959;49.2940601959,-123.136005118
168.0;BEATTY ST;900.0;S;2016.0;Sunday;19958.0;120.0;491535.6363;5458144.705;-123.116368607;49.2760005808;49.2760005808,-123.116368607
168.0;BEATTY ST;900.0;S;2016.0;Tuesday;25253.0;120.0;491535.6363;5458144.705;-123.116368607;49.2760005808;49.2760005808,-123.116368607
168.0;BEATTY ST;900.0;S;2016.0;Saturday;22560.0;144.0;491535.6363;5458144.705;-123.116368607;49.2760005808;49.2760005808,-123.116368607
170.0;BURRARD ST;1500.0;N;2016.0;Friday;24916.0;288.0;489418.805637;5457654.19728;-123.145457865;49.271555412;49.271555412,-123.145457865
171.0;BURRARD ST;1400.0;S;2016.0;Monday;23904.0;144.0;490319.512729;5458201.58807;-123.133089282;49.2764942054;49.2764942054,-123.133089282
171.0;BURRARD ST;1400.0;S;2016.0;Saturday;24029.0;192.0;490319.512729;5458201.58807;-123.133089282;49.2764942054;49.2764942054,-123.133089282
172.0;CAMBIE ST;2000.0;N;2016.0;Sunday;7252.0;360.0;0.0;0.0;0.0;0.0;0.0,0.0
173.0;CAMBIE ST;2200.0;N;2016.0;Sunday;17739.0;360.0;491652.177294;5456956.08906;-123.114741598;49.2653103753;49.2653103753,-123.114741598
173.0;CAMBIE ST;2200.0;N;2016.0;Tuesday;21473.0;336.0;491652.177294;5456956.08906;-123.114741598;49.2653103753;49.2653103753,-123.114741598
173.0;CAMBIE ST;2200.0;N;2016.0;Wednesday;22050.0;336.0;491652.177294;5456956.08906;-123.114741598;49.2653103753;49.2653103753,-123.114741598
173.0;CAMBIE ST;2200.0;N;2016.0;Friday;22738.0;336.0;491652.177294;5456956.08906;-123.114741598;49.2653103753;49.2653103753,-123.114741598
173.0;CAMBIE ST;2200.0;N;2016.0;Saturday;20436.0;408.0;491652.177294;5456956.08906;-123.114741598;49.2653103753;49.2653103753,-123.114741598
175.0;GEORGIA VIADUCT;0.0;E;2016.0;Thursday;24551.0;1080.0;492933.055425;5458226.93914;-123.097158285;49.276758042;49.276758042,-123.097158285
176.0;E CORDOVA ST;100.0;E;2016.0;Wednesday;12677.0;528.0;492660.910335;5458844.4278;-123.100911136;49.2823092476;49.2823092476,-123.100911136
176.0;E CORDOVA ST;100.0;E;2016.0;Thursday;13357.0;648.0;492660.910335;5458844.4278;-123.100911136;49.2823092476;49.2823092476,-123.100911136
178.0;KEEFER ST;100.0;E;2016.0;Sunday;3009.0;672.0;492653.721621;5458532.69521;-123.101004252;49.2795050759;49.2795050759,-123.101004252
178.0;KEEFER ST;100.0;E;2016.0;Monday;3360.0;552.0;492653.721621;5458532.69521;-123.101004252;49.2795050759;49.2795050759,-123.101004252
